parent_cod,code,name,area
MAR,MAR.2_1,Doukkala - Abda,14413842093.87
NAM,NAM.9_1,Omusati,26604429320.28
MYT,MYT.7_1,Dembeni,37612695.69
UGA,UGA.35_1,Masaka,3620423310.32
BWA,BWA.16_1,Sowa,3548388.91
SEN,SEN.12_1,Tambacounda,42856776715.89
GHA,GHA.10_1,Western,24594048567.88
CIV,CIV.6_1,Lacs,26168918532.00
AGO,AGO.18_1,Zaire,36586788354.76
UGA,UGA.3_1,Arua,5562515193.37
MLI,MLI.5_1,Koulikoro,90854355930.98
COD,COD.1_1,Bas-Uélé,148585802283.38
MRT,MRT.3_1,Brakna,33204272675.22
LSO,LSO.3_1,Leribe,2811841871.08
LBY,LBY.18_1,Sabha,17163216243.27
COM,COM.3_1,Nzwani,218210287.61
MRT,MRT.6_1,Guidimaka,10690079728.50
BFA,BFA.5_1,Centre-Ouest,21831855697.79
NGA,NGA.21_1,Katsina,23710427470.78
GAB,GAB.6_1,Ogooué-Ivindo,43485788613.38
SOM,SOM.3_1,Banaadir,210323431.07
MWI,MWI.22_1,Ntcheu,3248759416.94
CAF,CAF.14_1,Ouham-Pendé,31746630847.82
UGA,UGA.11_1,Jinja,697836027.56
GHA,GHA.1_1,Ashanti,24902408124.55
DZA,DZA.18_1,El Oued,43814279118.25
LBR,LBR.4_1,Grand Cape Mount,4950376854.28
MYT,MYT.14_1,Ouangani,20301141.47
ZMB,ZMB.5_1,Lusaka,22075195645.65
NER,NER.6_1,Tahoua,106374812352.68
TGO,TGO.5_1,Savanes,8712271272.08
NGA,NGA.31_1,Oyo,27404529025.84
TZA,TZA.4_1,Geita,19721125202.21
GNB,GNB.1_1,Bafatá,5844480085.55
COD,COD.3_1,Haut-Katanga,124202003479.34
ETH,ETH.1_1,Addis Abeba,537191840.27
AGO,AGO.6_1,Cuanza Norte,23820420148.01
NGA,NGA.5_1,Bauchi,49069258130.81
LBY,LBY.11_1,Az Zawiyah,3202702998.48
SOM,SOM.10_1,Jubbada Hoose,47711774741.44
BFA,BFA.12_1,Sahel,36148020168.86
SEN,SEN.14_1,Ziguinchor,7364527249.37
ESH,ESH.4_1,Oued el Dahab,126596111509.34
TUN,TUN.16_1,Nabeul,2852220589.28
CPV,CPV.13_1,Santa Catarina do Fogo,53642236.07
AGO,AGO.16_1,Namibe,57912977864.43
LSO,LSO.2_1,Butha-Buthe,1792267787.88
KEN,KEN.46_1,Wajir,56638389508.50
COG,COG.6_1,Lékoumou,21132156017.79
DZA,DZA.41_1,Tamanghasset,601536207182.73
ERI,ERI.3_1,Debubawi Keyih Bahri,22835251634.68
LBR,LBR.11_1,Montserrado,1814061470.87
CAF,CAF.6_1,Kémo,16501594297.33
MUS,MUS.7_1,Plaines Wilhems,202131441.10
ESH,ESH.2_1,Es Semara,66944081898.00
EGY,EGY.25_1,Qina,13191373575.82
MAR,MAR.11_1,Rabat - Salé - Zemmour - Zaer,10026888543.29
BDI,BDI.5_1,Cankuzo,1884641194.56
BDI,BDI.12_1,Muramvya,665964327.75
UGA,UGA.21_1,Kasese,3342774677.30
AGO,AGO.8_1,Cunene,77253208272.71
DZA,DZA.28_1,Médéa,8721622471.64
LBY,LBY.7_1,Al Marj,10061991577.14
MAR,MAR.3_1,Fès - Boulemane,19315437531.11
ZMB,ZMB.4_1,Luapula,49234817309.94
UGA,UGA.36_1,Masindi,8692848830.06
TZA,TZA.3_1,Dodoma,41862410122.68
SEN,SEN.13_1,Thiès,6638099642.82
CIV,CIV.7_1,Lagunes,19957644634.89
MLI,MLI.6_1,Mopti,81417768622.66
BWA,BWA.1_1,Central,146586090549.14
BEN,BEN.12_1,Zou,5150486067.30
LSO,LSO.4_1,Mafeteng,2646247626.51
SYC,SYC.17_1,Les Mamelles,1221967.39
LBR,LBR.13_1,River Cess,5285870138.48
NGA,NGA.22_1,Kebbi,35964879934.01
UGA,UGA.43_1,Mubende,6194622953.25
GAB,GAB.7_1,Ogooué-Lolo,29034304608.48
SOM,SOM.4_1,Bari,68222674680.53
UGA,UGA.58_1,Yumbe,2321049030.77
DZA,DZA.12_1,Bouira,4459760935.84
CAF,CAF.15_1,Ouham,52974692139.48
GHA,GHA.2_1,Brong Ahafo,39490772630.85
DZA,DZA.19_1,El Tarf,2886765032.43
LBR,LBR.5_1,GrandBassa,7480783083.63
MYT,MYT.15_1,Pamandzi,4741215.85
SEN,SEN.7_1,Kolda,13817765296.41
GNQ,GNQ.2_1,Bioko Norte,588088059.15
ZMB,ZMB.6_1,Muchinga,85997299032.01
MDG,MDG.6_1,Toliary,164083964482.42
TZA,TZA.5_1,Iringa,36479532689.84
ZWE,ZWE.10_1,Midlands,49434992783.48
COD,COD.4_1,Haut-Lomami,109061665562.41
ETH,ETH.2_1,Afar,94546771981.16
AGO,AGO.7_1,Cuanza Sul,55264290111.12
UGA,UGA.4_1,Bugiri,1599940997.83
LBY,LBY.12_1,Benghazi,15340769655.79
AGO,AGO.10_1,Huíla,78688591628.61
GAB,GAB.9_1,Wouleu-Ntem,37510243409.67
BFA,BFA.6_1,Centre-Sud,11509135797.36
MWI,MWI.17_1,Mzimba,10352175228.99
TUN,TUN.17_1,Sfax,7226626320.22
CPV,CPV.14_1,Santa Cruz,113247972.04
KEN,KEN.23_1,Makueni,8178978959.73
KEN,KEN.47_1,West Pokot,9510128829.15
DZA,DZA.42_1,Tébessa,13258125160.73
DZA,DZA.10_1,Blida,1482857460.70
DZA,DZA.1_1,Adrar,431499172367.54
LBR,LBR.12_1,Nimba,11896713910.78
CAF,CAF.7_1,Lobaye,18488299471.73
MWI,MWI.9_1,Kasungu,8028631460.18
NGA,NGA.32_1,Plateau,27577199395.44
RWA,RWA.2_1,Amajyepfo,5962867951.45
COD,COD.13_1,Kwilu,79176896409.43
ESH,ESH.3_1,Laayoune,30394036252.79
EGY,EGY.26_1,Shamal Sina',26542183716.28
BDI,BDI.13_1,Muyinga,1781687874.17
UGA,UGA.22_1,Katakwi,5013783892.56
MOZ,MOZ.4_1,Manica,62504516855.87
DZA,DZA.29_1,Mila,3495765129.75
EGY,EGY.9_1,Al Minufiyah,2168577296.79
UGA,UGA.37_1,Mayuge,1115502738.88
CMR,CMR.4_1,Extrême-Nord,34299153449.88
MWI,MWI.16_1,Mwanza,741535106.88
CIV,CIV.8_1,Montagnes,30398748562.33
NAM,NAM.13_1,Zambezi,14356364385.51
MWI,MWI.19_1,Nkhata Bay,11408580991.96
SYC,SYC.24_1,Roche Caïman,900406.35
MLI,MLI.7_1,Ségou,61522119612.54
BWA,BWA.2_1,Chobe,20969989939.93
LSO,LSO.5_1,Maseru,3772592894.00
TUN,TUN.9_1,Kassérine,8059380541.10
SYC,SYC.18_1,Mont Buxton,544504.11
UGA,UGA.44_1,Mukono,3370188483.25
SOM,SOM.5_1,Bay,43937985568.18
KEN,KEN.1_1,Baringo,10842340962.90
GAB,GAB.8_1,Ogooué-Maritime,22908384151.73
GHA,GHA.5_1,Greater Accra,3680618916.58
RWA,RWA.4_1,Iburengerazuba,5872522462.17
SEN,SEN.1_1,Dakar,570195738.38
MYT,MYT.16_1,Sada,10155509.12
GNQ,GNQ.3_1,Bioko Sur,1364014840.63
MYT,MYT.2_1,Bandraboua,32619010.20
LBY,LBY.1_1,Al Butnan,82853908614.37
BEN,BEN.7_1,Kouffo,2485289205.69
NAM,NAM.3_1,Hardap,109695220107.39
TZA,TZA.6_1,Kagera,36639377799.14
DZA,DZA.20_1,Ghardaïa,84472703705.45
CPV,CPV.1_1,Boa Vista,627014370.93
TZA,TZA.20_1,Pwani,32553915870.44
MOZ,MOZ.3_1,Inhambane,68718854294.78
SYC,SYC.8_1,Beau Vallon,4616785.29
LBY,LBY.13_1,Darnah,18500937582.34
EGY,EGY.10_1,Al Minya,31383520722.21
UGA,UGA.47_1,Nebbi,2886074844.18
TUN,TUN.11_1,Le Kef,5032578840.87
NAM,NAM.12_1,Otjozondjupa,104630839374.59
MWI,MWI.18_1,Neno,1574565144.25
TUN,TUN.18_1,Sidi Bou Zid,7376261606.83
KEN,KEN.24_1,Mandera,25766451663.91
MLI,MLI.9_1,Timbuktu,502894307267.28
DZA,DZA.13_1,Boumerdès,1445752949.59
SDN,SDN.1_1,Al Jazirah,24226916628.62
SSD,SSD.7_1,Upper Nile,77246351970.97
DZA,DZA.11_1,Bordj Bou Arréridj,3941854623.30
DZA,DZA.2_1,Aïn Defla,4551986857.30
CAF,CAF.8_1,Mambéré-Kadéï,29636802355.04
NGA,NGA.33_1,Rivers,8374245580.33
TZA,TZA.22_1,Ruvuma,63077585395.26
RWA,RWA.3_1,Iburasirazuba,9458602672.29
COD,COD.14_1,Lomami,53967322295.97
EGY,EGY.27_1,Suhaj,10080655698.93
BDI,BDI.14_1,Mwaro,816167017.89
MOZ,MOZ.5_1,Maputo City,696861185.87
UGA,UGA.23_1,Kayunga,1701570650.82
AGO,AGO.1_1,Bengo,34359924945.50
SLE,SLE.3_1,Southern,20120663290.13
UGA,UGA.38_1,Mbale,1366273426.30
SSD,SSD.10_1,West Equatoria,79122248057.81
NAM,NAM.11_1,Oshikoto,38637609565.76
AGO,AGO.11_1,Luanda,2444814876.29
DZA,DZA.35_1,Relizane,4870904954.25
CMR,CMR.5_1,Littoral,20127916660.28
CIV,CIV.9_1,Sassandra-Marahoué,24293172338.56
SYC,SYC.25_1,Saint Louis,538371.40
KEN,KEN.26_1,Meru,6981428249.49
MLI,MLI.8_1,Sikasso,71360812068.32
CIV,CIV.10_1,Savanes,40283387437.25
BWA,BWA.3_1,Francistown,94131421.09
SYC,SYC.19_1,Mont Fleuri,3334741.35
COG,COG.12_1,Sangha,57695842798.96
COG,COG.1_1,Bouenza,12517118674.38
EGY,EGY.20_1,Bur Sa`id,1460042639.39
UGA,UGA.45_1,Nakapiripirit,5821555548.26
KEN,KEN.2_1,Bomet,2370162977.39
SOM,SOM.6_1,Galguduud,49505069349.51
GIN,GIN.1_1,Boké,34036250777.68
COD,COD.16_1,Maï-Ndombe,128457833469.21
GHA,GHA.6_1,Northern,69474324212.20
RWA,RWA.5_1,Umujyi wa Kigali,726788508.19
MUS,MUS.2_1,Black River,256706116.14
SEN,SEN.2_1,Diourbel,4858442721.96
MYT,MYT.3_1,Bandrele,39704367.82
LBY,LBY.2_1,Al Jabal al Akhdar,8535177870.94
TCD,TCD.4_1,Chari-Baguirmi,46032206533.91
SDN,SDN.15_1,South Kurdufan,79393150533.49
NAM,NAM.4_1,Kavango,48687847650.30
DZA,DZA.21_1,Guelma,3686860527.99
TZA,TZA.21_1,Rukwa,28139011961.92
SYC,SYC.9_1,Bel Air,4069181.29
KEN,KEN.10_1,Kajiado,21988385807.51
SHN,SHN.2_1,Saint Helena,122872513.84
LBY,LBY.14_1,Ghat,52171612726.61
EGY,EGY.11_1,Al Qahirah,2899197583.35
MYT,MYT.1_1,Acoua,13979815.64
UGA,UGA.48_1,Ntungamo,2047766924.24
BFA,BFA.1_1,Boucle du Mouhoun,34551975002.03
TUN,TUN.12_1,Mahdia,2935965774.36
MYT,MYT.10_1,Koungou,29139435.31
STP,STP.1_1,Príncipe,140860922.07
GAB,GAB.2_1,Haut-Ogooué,33697772188.61
KEN,KEN.25_1,Marsabit,75780354388.25
UGA,UGA.16_1,Kampala,175008190.70
DZA,DZA.14_1,Chlef,4073435964.03
CPV,CPV.22_1,Tarrafal de São Nicolau,113513475.56
SSD,SSD.8_1,Warap,39478607592.05
NGA,NGA.10_1,Delta,16287091582.43
NER,NER.2_1,Diffa,146232749930.83
SDN,SDN.14_1,South Darfur,78140203159.71
TGO,TGO.1_1,Centre,13235753967.46
CAF,CAF.9_1,Mbomou,60118735395.20
NGA,NGA.34_1,Sokoto,31736071891.47
BEN,BEN.8_1,Littoral,41768373.66
COD,COD.15_1,Lualaba,121845041362.35
MOZ,MOZ.6_1,Maputo,22907056105.83
AGO,AGO.2_1,Benguela,39510319967.92
MUS,MUS.10_1,Rodriguez,111298396.93
SOM,SOM.15_1,Shabeellaha Hoose,25669705202.36
SLE,SLE.4_1,Western,715466039.49
NGA,NGA.1_1,Abia,4719063589.33
DJI,DJI.1_1,Ali Sabieh,2098387267.27
AGO,AGO.12_1,Lunda Norte,107806708096.90
DZA,DZA.36_1,Saïda,6774025440.46
CMR,CMR.6_1,Nord-Ouest,17465217365.94
CIV,CIV.11_1,Vallée du Bandama,27596351549.42
BWA,BWA.4_1,Gaborone,280769299.54
ZMB,ZMB.10_1,Western,127369889920.42
EGY,EGY.21_1,Dumyat,934190933.23
COG,COG.2_1,Brazzaville,102845741.67
BDI,BDI.1_1,Bubanza,1050500161.38
TZA,TZA.17_1,Njombe,21315964320.83
KEN,KEN.3_1,Bungoma,3568312112.73
GHA,GHA.7_1,Upper East,8598545845.71
MUS,MUS.3_1,Flacq,298778354.60
SEN,SEN.3_1,Fatick,6847160004.16
KEN,KEN.35_1,Nyandarua,3265099603.62
LBY,LBY.3_1,Al Jabal al Gharbi,85602868955.28
MOZ,MOZ.11_1,Zambezia,102894386374.54
NER,NER.1_1,Agadez,623523485420.91
DZA,DZA.39_1,Skikda,4143244830.66
TCD,TCD.5_1,Ennedi Est,77365447233.16
SDN,SDN.16_1,West Darfur,22663908420.77
DZA,DZA.22_1,Illizi,293535474732.58
NAM,NAM.5_1,Khomas,37079198774.88
COD,COD.25_1,Tshopo,200455231483.11
SYC,SYC.26_1,Takamaka,11853801.34
CPV,CPV.10_1,Ribeira Grande de Santiago,140625310.04
KEN,KEN.11_1,Kakamega,2439359389.14
CIV,CIV.2_1,Bas-Sassandra,27789229721.06
UGA,UGA.49_1,Pader,6854830172.33
BFA,BFA.2_1,Cascades,18577615229.70
NGA,NGA.27_1,Niger,71017996142.31
ZWE,ZWE.2_1,Harare,896241606.67
TUN,TUN.13_1,Manubah,1007741865.98
STP,STP.2_1,São Tomé,858368351.00
MYT,MYT.11_1,M'tsangamouji,23617154.99
GAB,GAB.3_1,Moyen-Ogooué,17829937660.75
UGA,UGA.54_1,Sironko,1101039708.82
CAF,CAF.11_1,Nana-Mambéré,27104217361.38
DZA,DZA.15_1,Constantine,2244894236.67
SSD,SSD.9_1,West Bahr-al-Ghazal,85514141839.87
NGA,NGA.11_1,Ebonyi,6195752956.00
TGO,TGO.2_1,Kara,11530255515.45
SDN,SDN.18_1,White Nile,39984861941.21
TCD,TCD.16_1,Moyen-Chari,41473808260.63
TZA,TZA.16_1,Mwanza,25971824143.90
BEN,BEN.9_1,Mono,1592334263.61
ETH,ETH.10_1,"Southern Nations, Nationalities and Peoples",108935509617.10
UGA,UGA.30_1,Kyenjojo,4091527163.79
SWZ,SWZ.2_1,Lubombo,5851164688.25
ETH,ETH.7_1,Harari People,366784256.10
ZMB,ZMB.1_1,Central,94550578241.39
AGO,AGO.3_1,Bié,72052677148.36
SOM,SOM.16_1,Sool,38030798920.67
DJI,DJI.2_1,Dikhil,7929942344.08
DZA,DZA.37_1,Sétif,6666534200.59
CMR,CMR.7_1,Nord,66356990935.64
COM,COM.1_1,Mwali,430117605.82
MDG,MDG.1_1,Antananarivo,59857560738.97
CPV,CPV.19_1,São Salvador do Mundo,31705456.95
SOM,SOM.1_1,Awdal,16290280384.13
MWI,MWI.28_1,Zomba,3082856193.23
UGA,UGA.17_1,Kamuli,4302141261.22
EGY,EGY.22_1,Janub Sina',29286217692.86
TZA,TZA.18_1,Pemba North,542949809.55
GHA,GHA.8_1,Upper West,18908481119.19
EGY,EGY.5_1,Al Gharbiyah,1998937020.15
CAF,CAF.10_1,Nana-Grébizi,19667131109.98
KEN,KEN.36_1,Nyeri,3336292991.47
MWI,MWI.12_1,Machinga,3879079118.79
DZA,DZA.25_1,Laghouat,27556672792.11
UGA,UGA.33_1,Lira,7244665258.49
TCD,TCD.6_1,Ennedi Ouest,111048403203.56
SDN,SDN.17_1,West Kurdufan,112964615334.27
MLI,MLI.3_1,Kayes,121843943133.74
DZA,DZA.23_1,Jijel,2397393474.07
NAM,NAM.6_1,Kunene,115330684821.75
GNB,GNB.6_1,Gabú,9036854881.36
PRT,PRT.13_1,Madeira,753138531.30
COD,COD.26_1,Tshuapa,132918033243.21
SYC,SYC.20_1,Outer Islands,205446581.39
SWZ,SWZ.1_1,Hhohho,3645367543.50
UGA,UGA.40_1,Moroto,8513420450.88
MRT,MRT.1_1,Adrar,222149869295.21
CMR,CMR.10_1,Sud,47276366081.05
NGA,NGA.28_1,Ogun,16089074009.60
ZWE,ZWE.3_1,Manicaland,35592824368.15
TUN,TUN.14_1,Médenine,8655601303.47
MYT,MYT.12_1,Mamoudzou,45221707.11
DZA,DZA.47_1,Tizi Ouzou,2972850073.65
GAB,GAB.4_1,Ngounié,38387342477.96
KEN,KEN.42_1,Trans Nzoia,2464156308.94
UGA,UGA.55_1,Soroti,3379430421.78
MDG,MDG.3_1,Fianarantsoa,100775399869.27
CAF,CAF.2_1,Bangui,92655544.67
TGO,TGO.3_1,Maritime,6257964116.41
BEN,BEN.3_1,Atlantique,3071866948.75
TCD,TCD.17_1,Ouaddaï,29750138525.13
DZA,DZA.31_1,Naâma,29774777818.60
SWZ,SWZ.3_1,Manzini,4123011486.26
ETH,ETH.8_1,Oromia,323041329304.45
ZMB,ZMB.2_1,Copperbelt,31393431604.94
AGO,AGO.4_1,Cabinda,7047807665.20
SOM,SOM.17_1,Togdheer,34106751823.42
KEN,KEN.20_1,Laikipia,9526642234.38
CIV,CIV.3_1,Comoé,14602110499.71
KEN,KEN.44_1,Uasin Gishu,3424224906.02
MDG,MDG.2_1,Antsiranana,43888994635.14
CAF,CAF.4_1,Haut-Mbomou,56357300190.85
UGA,UGA.18_1,Kamwenge,2396365975.13
REU,REU.1_1,Saint-Benoît,738106094.93
EGY,EGY.23_1,Kafr ash Shaykh,3762920191.49
TCD,TCD.19_1,Sila,35709213071.89
BDI,BDI.10_1,Kirundo,1767724719.53
TZA,TZA.19_1,Pemba South,448949361.71
TUN,TUN.24_1,Zaghouan,2855567219.88
COD,COD.10_1,Kinshasa,10796310598.25
EGY,EGY.6_1,Al Iskandariyah,2549064488.78
BEN,BEN.1_1,Alibori,26484989391.18
KEN,KEN.37_1,Samburu,20946629529.92
TZA,TZA.1_1,Arusha,38062125997.33
MWI,MWI.13_1,Mangochi,9060668738.34
